Calories,Gender,Age,Duration,Heart_Rate,Body_Temp
41.0,1,57,7.0,95.0,39.2
59.0,0,27,14.0,88.0,39.9
179.0,1,40,24.0,110.0,40.7
6.0,0,57,2.0,73.0,38.6
13.0,0,23,5.0,74.0,39.2
147.0,1,23,23.0,110.0,40.0
180.0,1,43,26.0,107.0,40.7
101.0,1,74,14.0,96.0,40.1
150.0,0,45,23.0,106.0,40.7
179.0,0,31,25.0,115.0,40.8
23.0,1,21,6.0,93.0,39.2
10.0,1,50,3.0,80.0,38.3
39.0,1,39,9.0,93.0,39.5
247.0,1,57,30.0,112.0,40.9
89.0,0,26,19.0,92.0,40.5
141.0,1,34,25.0,102.0,40.9
18.0,0,55,4.0,87.0,39.1
70.0,0,52,15.0,89.0,40.6
185.0,1,21,29.0,110.0,40.8
54.0,0,20,11.0,94.0,40.1
207.0,0,79,29.0,107.0,40.8
189.0,1,21,27.0,114.0,41.0
6.0,1,50,2.0,82.0,38.1
60.0,0,29,12.0,97.0,39.9
23.0,1,22,6.0,92.0,39.0
186.0,0,28,27.0,113.0,40.8
178.0,1,38,28.0,104.0,40.9
122.0,1,23,25.0,102.0,40.7
166.0,0,68,24.0,108.0,40.5
158.0,1,79,20.0,102.0,40.1
7.0,0,35,2.0,83.0,38.4
143.0,1,67,18.0,105.0,40.5
43.0,0,21,12.0,82.0,39.8
86.0,0,44,17.0,92.0,40.2
128.0,0,43,23.0,100.0,40.7
182.0,1,21,29.0,111.0,41.0
52.0,0,32,10.0,98.0,39.7
236.0,1,79,27.0,107.0,40.4
114.0,1,51,19.0,97.0,40.6
64.0,0,60,11.0,99.0,39.7
171.0,1,49,26.0,103.0,40.8
19.0,1,46,6.0,82.0,39.2
144.0,0,35,21.0,111.0,40.5
37.0,1,31,9.0,94.0,39.7
185.0,1,42,26.0,110.0,41.4
60.0,0,66,13.0,87.0,39.8
127.0,1,52,22.0,96.0,40.5
149.0,1,59,23.0,101.0,40.4
78.0,1,23,16.0,102.0,40.1
24.0,0,49,5.0,91.0,38.9
143.0,0,25,23.0,107.0,40.8
143.0,1,20,27.0,104.0,41.0
71.0,0,28,15.0,94.0,40.1
58.0,1,60,11.0,90.0,40.2
71.0,0,29,15.0,95.0,40.4
20.0,1,40,5.0,88.0,39.5
78.0,1,26,17.0,96.0,40.3
93.0,0,26,19.0,97.0,40.4
17.0,1,25,6.0,90.0,39.2
12.0,0,60,3.0,84.0,38.9
115.0,1,25,23.0,101.0,40.8
119.0,0,39,19.0,106.0,40.6
168.0,0,30,26.0,108.0,40.6
44.0,1,23,12.0,90.0,40.4
192.0,0,37,29.0,108.0,40.6
96.0,0,22,17.0,101.0,40.3
135.0,0,26,23.0,105.0,40.7
54.0,0,56,12.0,86.0,40.2
239.0,1,43,30.0,115.0,40.8
69.0,0,38,14.0,94.0,40.1
46.0,1,24,14.0,90.0,40.7
115.0,0,25,21.0,101.0,40.7
17.0,0,31,4.0,88.0,39.1
190.0,0,54,25.0,115.0,40.4
48.0,0,34,12.0,89.0,40.2
178.0,0,28,27.0,112.0,40.7
20.0,1,24,6.0,88.0,39.3
64.0,0,27,15.0,90.0,40.4
95.0,0,35,19.0,94.0,40.6
196.0,1,49,25.0,111.0,40.8
9.0,1,36,2.0,91.0,38.1
105.0,0,58,18.0,101.0,40.8
58.0,0,40,12.0,92.0,40.0
111.0,1,31,24.0,97.0,40.8
108.0,1,50,17.0,101.0,40.3
24.0,1,36,6.0,87.0,39.1
67.0,0,34,13.0,96.0,40.1
62.0,0,78,13.0,84.0,40.3
172.0,1,41,28.0,104.0,40.8
24.0,1,41,7.0,87.0,39.5
84.0,1,24,19.0,98.0,40.1
132.0,0,67,20.0,105.0,40.5
167.0,0,47,25.0,110.0,40.7
101.0,0,42,17.0,101.0,40.6
113.0,0,25,23.0,97.0,40.6
84.0,1,25,17.0,101.0,40.3
28.0,0,58,6.0,88.0,39.4
157.0,1,68,22.0,99.0,41.0
64.0,1,24,14.0,97.0,40.4
133.0,1,38,21.0,104.0,40.6
145.0,0,26,23.0,108.0,40.5
174.0,1,64,24.0,103.0,41.0
34.0,0,49,7.0,93.0,39.2
193.0,0,73,29.0,103.0,40.9
147.0,1,27,24.0,107.0,40.7
133.0,1,66,18.0,105.0,40.5
161.0,1,39,26.0,101.0,40.7
18.0,0,30,6.0,76.0,39.4
85.0,1,76,12.0,96.0,40.1
90.0,1,60,15.0,95.0,40.0
176.0,1,54,23.0,108.0,40.9
51.0,0,49,11.0,89.0,39.6
24.0,0,24,7.0,82.0,39.3
22.0,0,28,6.0,83.0,39.5
212.0,1,72,25.0,106.0,40.9
201.0,1,32,29.0,112.0,40.9
83.0,0,36,17.0,93.0,40.3
87.0,1,65,14.0,93.0,40.1
141.0,0,36,27.0,97.0,40.7
134.0,0,32,23.0,103.0,40.3
5.0,1,42,2.0,80.0,38.6
201.0,1,34,29.0,109.0,40.9
9.0,1,34,3.0,86.0,38.2
20.0,1,26,8.0,83.0,39.3
221.0,1,31,29.0,113.0,40.8
112.0,0,64,17.0,105.0,40.1
108.0,1,34,20.0,99.0,40.3
257.0,1,63,29.0,110.0,40.4
192.0,1,44,27.0,108.0,40.8
72.0,1,36,17.0,90.0,40.3
169.0,1,41,28.0,104.0,41.2
120.0,1,73,18.0,97.0,40.3
172.0,1,31,28.0,106.0,40.8
21.0,1,22,10.0,84.0,39.9
105.0,0,34,18.0,102.0,40.6
156.0,0,21,25.0,109.0,40.3
13.0,0,22,3.0,89.0,38.7
134.0,1,33,24.0,100.0,40.8
130.0,0,51,21.0,103.0,40.4
7.0,1,45,2.0,83.0,37.9
140.0,0,33,25.0,101.0,41.1
34.0,1,47,7.0,91.0,39.3
34.0,0,70,9.0,79.0,40.0
44.0,0,77,8.0,92.0,39.5
42.0,0,35,11.0,85.0,39.9
9.0,0,44,2.0,89.0,38.4
107.0,0,71,18.0,97.0,40.5
39.0,0,54,9.0,87.0,39.6
178.0,0,63,26.0,108.0,40.8
79.0,0,50,13.0,101.0,40.4
113.0,1,63,15.0,102.0,40.3
143.0,0,30,22.0,109.0,40.5
16.0,0,33,4.0,84.0,38.7
137.0,1,38,24.0,100.0,40.5
71.0,1,20,17.0,97.0,40.5
72.0,0,67,13.0,94.0,40.2
76.0,1,24,14.0,103.0,40.1
187.0,1,30,27.0,109.0,40.5
109.0,0,35,18.0,103.0,40.2
204.0,0,63,29.0,111.0,40.5
29.0,0,50,6.0,91.0,39.4
91.0,1,33,17.0,98.0,40.5
16.0,0,36,4.0,84.0,39.0
36.0,1,75,7.0,84.0,39.1
80.0,1,56,13.0,97.0,39.9
151.0,0,50,22.0,111.0,40.6
195.0,1,24,27.0,116.0,40.6
26.0,0,32,8.0,80.0,39.5
138.0,1,49,22.0,99.0,40.5
15.0,0,77,3.0,89.0,39.0
120.0,1,67,19.0,97.0,40.5
197.0,1,23,30.0,112.0,41.0
114.0,1,37,21.0,98.0,40.7
127.0,0,35,20.0,107.0,40.6
112.0,1,34,23.0,97.0,40.8
116.0,0,49,21.0,98.0,40.4
35.0,0,69,8.0,83.0,39.4
110.0,1,49,16.0,103.0,40.4
117.0,0,41,22.0,95.0,40.2
115.0,1,42,17.0,105.0,40.2
157.0,1,52,21.0,107.0,40.6
54.0,0,26,12.0,91.0,40.0
163.0,0,79,25.0,104.0,40.5
156.0,1,72,19.0,107.0,40.5
42.0,1,34,10.0,91.0,39.9
35.0,0,60,7.0,89.0,39.8
34.0,0,45,7.0,91.0,39.3
99.0,1,33,19.0,98.0,40.4
161.0,1,56,20.0,109.0,40.5
38.0,0,21,8.0,94.0,39.8
104.0,0,50,18.0,99.0,40.5
200.0,1,60,27.0,105.0,41.0
183.0,1,39,28.0,108.0,40.7
140.0,1,48,19.0,110.0,40.7
100.0,0,38,19.0,97.0,40.5
178.0,1,54,22.0,110.0,40.3
150.0,1,23,27.0,104.0,41.0
83.0,0,72,15.0,94.0,40.2
12.0,1,47,6.0,74.0,39.3
49.0,0,58,8.0,103.0,39.9
147.0,1,41,25.0,101.0,40.8
44.0,1,62,8.0,90.0,39.4
179.0,0,30,29.0,107.0,40.9
161.0,0,32,23.0,113.0,40.5
20.0,1,20,9.0,84.0,39.4
127.0,0,53,21.0,102.0,40.5
247.0,1,51,30.0,112.0,41.0
173.0,1,78,23.0,100.0,40.8
3.0,0,31,1.0,74.0,37.6
32.0,1,74,6.0,83.0,39.0
140.0,0,50,22.0,106.0,40.9
34.0,0,40,8.0,88.0,40.0
30.0,1,41,8.0,88.0,39.7
64.0,0,26,13.0,94.0,40.3
152.0,1,25,27.0,104.0,40.8
91.0,1,31,15.0,105.0,39.9
9.0,1,20,4.0,83.0,38.8
20.0,0,55,5.0,84.0,39.3
156.0,0,52,25.0,103.0,40.7
223.0,1,60,26.0,110.0,40.6
83.0,1,36,16.0,97.0,40.0
51.0,0,53,11.0,89.0,40.0
52.0,1,36,10.0,97.0,40.0
170.0,0,23,25.0,114.0,40.9
7.0,0,36,2.0,79.0,37.9
149.0,0,37,25.0,103.0,40.7
181.0,1,48,27.0,105.0,40.6
201.0,0,39,27.0,118.0,41.1
23.0,1,21,7.0,88.0,39.6
109.0,1,20,23.0,100.0,40.3
30.0,1,57,8.0,84.0,39.7
84.0,0,77,15.0,94.0,40.5
128.0,1,34,19.0,109.0,40.4
137.0,1,52,23.0,97.0,40.7
216.0,1,70,28.0,103.0,40.8
68.0,0,64,12.0,95.0,40.1
129.0,1,73,18.0,97.0,40.7
50.0,1,47,11.0,88.0,39.8
19.0,0,39,5.0,84.0,39.2
30.0,0,25,7.0,89.0,39.4
197.0,1,22,27.0,119.0,40.4
24.0,1,67,4.0,95.0,38.7
70.0,0,64,13.0,94.0,40.2
54.0,1,37,12.0,91.0,40.1
88.0,1,21,19.0,100.0,40.5
24.0,1,40,7.0,83.0,39.5
121.0,0,36,19.0,108.0,40.1
57.0,0,53,11.0,95.0,39.9
126.0,1,41,22.0,98.0,40.5
24.0,1,56,5.0,89.0,39.5
41.0,0,29,11.0,84.0,40.0
28.0,1,28,7.0,92.0,39.5
34.0,1,22,10.0,90.0,39.7
161.0,1,76,23.0,96.0,40.5
20.0,1,73,4.0,86.0,38.9
119.0,1,39,23.0,97.0,40.6
63.0,0,69,11.0,95.0,39.6
58.0,0,46,12.0,93.0,40.1
215.0,0,30,30.0,115.0,40.6
96.0,0,35,17.0,101.0,40.1
160.0,0,60,24.0,107.0,41.0
154.0,0,35,25.0,104.0,41.0
11.0,1,26,5.0,81.0,39.1
122.0,1,21,23.0,104.0,40.5
124.0,0,27,22.0,101.0,40.4
113.0,0,47,21.0,97.0,40.6
9.0,0,27,3.0,80.0,38.9
208.0,1,49,29.0,108.0,40.7
101.0,1,27,19.0,102.0,41.0
66.0,1,46,14.0,91.0,40.0
100.0,1,58,14.0,102.0,40.1
65.0,1,27,13.0,101.0,39.9
47.0,1,29,13.0,91.0,39.8
8.0,1,39,3.0,78.0,38.6
17.0,0,56,4.0,84.0,38.7
101.0,1,32,21.0,97.0,40.4
18.0,0,43,5.0,80.0,39.0
131.0,1,21,21.0,108.0,40.5
58.0,0,76,10.0,97.0,39.8
87.0,0,22,15.0,104.0,40.0
152.0,1,35,24.0,104.0,40.6
193.0,1,45,28.0,105.0,41.0
51.0,1,32,10.0,99.0,39.7
157.0,1,39,25.0,105.0,40.7
165.0,0,44,27.0,105.0,40.8
22.0,0,26,6.0,84.0,39.4
91.0,0,42,17.0,98.0,40.1
9.0,0,24,2.0,93.0,38.2
74.0,1,56,14.0,91.0,40.0
26.0,1,71,5.0,85.0,39.1
57.0,0,37,11.0,99.0,39.9
37.0,0,47,10.0,81.0,39.9
217.0,1,48,29.0,112.0,40.9
47.0,1,52,11.0,87.0,40.0
139.0,1,40,24.0,99.0,40.4
19.0,0,66,4.0,88.0,38.9
80.0,0,37,16.0,94.0,40.2
74.0,1,28,17.0,94.0,40.4
54.0,0,59,10.0,93.0,39.7
154.0,1,24,28.0,105.0,40.8
140.0,0,67,26.0,93.0,40.7
52.0,1,33,10.0,97.0,39.8
79.0,1,34,15.0,97.0,40.1
94.0,1,40,17.0,99.0,40.4
202.0,1,22,28.0,116.0,41.0
238.0,1,66,27.0,114.0,40.7
117.0,1,42,19.0,103.0,40.2
26.0,1,42,7.0,83.0,39.5
184.0,1,64,23.0,106.0,40.7
169.0,0,32,28.0,105.0,40.5
2.0,1,24,1.0,78.0,37.7
162.0,1,26,27.0,107.0,41.0
62.0,0,32,13.0,92.0,40.2
150.0,1,51,21.0,105.0,40.4
183.0,0,40,27.0,110.0,41.1
138.0,0,34,25.0,101.0,40.9
99.0,1,48,15.0,103.0,40.0
128.0,0,21,23.0,100.0,40.6
54.0,0,31,12.0,91.0,40.3
127.0,1,76,18.0,95.0,40.3
11.0,1,20,5.0,84.0,38.9
66.0,1,22,18.0,94.0,40.7
49.0,1,44,11.0,91.0,39.5
42.0,0,49,10.0,85.0,39.5
37.0,1,49,7.0,95.0,39.5
12.0,0,46,3.0,84.0,38.6
243.0,1,75,29.0,107.0,41.1
14.0,0,20,5.0,76.0,39.3
171.0,0,33,28.0,105.0,40.6
241.0,1,68,28.0,112.0,40.8
125.0,0,58,20.0,104.0,40.6
171.0,1,23,26.0,112.0,40.6
52.0,1,79,9.0,87.0,39.7
187.0,1,43,28.0,103.0,40.7
141.0,0,37,24.0,104.0,40.8
314.0,1,75,28.0,123.0,40.5
159.0,0,61,26.0,102.0,40.8
30.0,0,26,9.0,80.0,40.2
176.0,0,23,28.0,110.0,40.9
211.0,1,64,25.0,111.0,40.8
29.0,0,20,8.0,85.0,39.4
99.0,0,22,21.0,95.0,40.1
190.0,0,27,27.0,116.0,41.1
22.0,1,36,7.0,83.0,39.5
247.0,1,59,30.0,110.0,41.0
17.0,1,36,5.0,84.0,39.0
37.0,0,71,8.0,86.0,39.7
117.0,0,21,21.0,103.0,40.4
52.0,1,56,10.0,91.0,39.7
7.0,0,68,2.0,75.0,37.9
68.0,1,75,10.0,98.0,39.7
74.0,1,48,17.0,89.0,40.4
154.0,1,62,24.0,97.0,40.6
165.0,0,53,26.0,104.0,40.7
96.0,1,47,17.0,97.0,39.9
77.0,1,39,13.0,101.0,39.8
86.0,0,54,17.0,92.0,40.3
129.0,1,38,21.0,101.0,40.6
151.0,0,39,26.0,100.0,40.4
197.0,1,51,28.0,106.0,40.9
77.0,1,30,13.0,104.0,40.3
22.0,0,33,5.0,90.0,39.1
161.0,1,47,27.0,100.0,40.7
192.0,0,64,25.0,114.0,40.8
37.0,0,37,8.0,90.0,39.2
135.0,1,41,20.0,106.0,40.5
55.0,1,61,11.0,90.0,40.0
29.0,1,38,10.0,84.0,39.8
52.0,1,21,12.0,97.0,39.9
2.0,0,26,1.0,69.0,37.9
106.0,1,48,21.0,94.0,40.6
28.0,1,71,6.0,84.0,39.0
189.0,1,73,22.0,107.0,40.9
190.0,0,65,26.0,111.0,41.0
66.0,0,57,13.0,91.0,39.9
135.0,1,49,22.0,99.0,40.5
23.0,1,55,4.0,97.0,38.7
17.0,1,20,12.0,80.0,39.9
21.0,0,45,5.0,84.0,38.9
60.0,0,53,13.0,90.0,40.2
51.0,0,46,10.0,93.0,39.6
15.0,1,25,5.0,85.0,39.1
29.0,1,22,9.0,92.0,40.0
190.0,0,60,27.0,110.0,40.8
51.0,0,50,11.0,89.0,40.1
95.0,0,61,17.0,95.0,40.5
216.0,0,69,29.0,112.0,40.9
165.0,1,30,30.0,101.0,41.0
122.0,0,33,20.0,105.0,40.6
69.0,1,21,15.0,96.0,40.1
113.0,0,39,20.0,99.0,40.9
26.0,1,26,7.0,92.0,39.5
22.0,1,44,5.0,91.0,39.2
70.0,0,58,12.0,96.0,40.1
9.0,1,24,4.0,83.0,39.3
72.0,1,35,15.0,95.0,40.3
165.0,1,21,25.0,111.0,40.6
165.0,1,26,29.0,105.0,41.0
64.0,0,30,15.0,88.0,40.3
103.0,1,27,18.0,105.0,40.5
15.0,0,32,4.0,83.0,39.1
32.0,0,30,9.0,85.0,39.6
68.0,0,79,14.0,85.0,40.0
159.0,0,39,25.0,106.0,40.6
23.0,1,25,6.0,92.0,39.6
54.0,0,23,13.0,90.0,40.1
9.0,0,47,2.0,89.0,37.8
240.0,1,34,29.0,120.0,40.7
42.0,0,36,10.0,86.0,39.7
117.0,1,63,14.0,106.0,40.0
164.0,0,37,26.0,106.0,40.6
132.0,0,50,23.0,98.0,40.8
9.0,1,62,2.0,85.0,38.2
74.0,0,37,15.0,94.0,40.0
116.0,0,35,23.0,96.0,40.7
42.0,1,27,8.0,102.0,39.7
187.0,1,55,24.0,110.0,40.6
70.0,1,36,16.0,94.0,40.4
29.0,0,22,7.0,86.0,39.1
17.0,1,20,9.0,83.0,39.8
195.0,1,43,28.0,108.0,40.9
127.0,0,73,19.0,106.0,40.4
39.0,1,22,14.0,87.0,39.9
28.0,1,67,6.0,88.0,38.9
68.0,1,25,16.0,93.0,40.3
91.0,0,41,17.0,97.0,40.5
89.0,1,49,16.0,97.0,40.2
10.0,0,58,2.0,89.0,37.7
185.0,1,27,28.0,111.0,41.2
16.0,0,33,5.0,79.0,38.7
97.0,0,59,19.0,91.0,40.3
44.0,1,21,13.0,92.0,40.2
56.0,0,65,10.0,95.0,40.0
112.0,1,22,21.0,103.0,40.4
37.0,1,55,10.0,81.0,39.8
24.0,1,22,9.0,86.0,39.8
216.0,0,35,30.0,112.0,40.5
106.0,1,58,15.0,101.0,40.1
57.0,1,45,14.0,85.0,39.9
119.0,1,62,18.0,97.0,40.3
96.0,0,74,16.0,97.0,40.1
33.0,0,48,7.0,88.0,39.5
106.0,1,23,23.0,100.0,40.7
156.0,1,31,25.0,106.0,41.0
75.0,1,53,14.0,92.0,40.4
130.0,1,73,18.0,99.0,40.6
142.0,0,27,21.0,113.0,40.5
121.0,1,40,22.0,99.0,40.5
143.0,0,66,24.0,99.0,40.7
123.0,0,46,20.0,105.0,40.7
186.0,0,75,26.0,108.0,41.1
53.0,1,33,13.0,94.0,40.3
170.0,0,49,27.0,104.0,40.8
78.0,0,37,15.0,97.0,40.2
182.0,0,43,26.0,113.0,40.5
55.0,0,66,11.0,92.0,40.0
150.0,0,51,25.0,101.0,40.6
21.0,0,33,6.0,80.0,39.9
26.0,1,48,6.0,90.0,39.0
90.0,1,43,18.0,93.0,40.5
91.0,1,48,16.0,99.0,40.7
79.0,1,34,17.0,95.0,40.3
195.0,0,61,29.0,107.0,41.1
57.0,0,48,10.0,101.0,39.9
96.0,0,30,18.0,98.0,40.5
39.0,0,79,7.0,93.0,39.7
18.0,0,67,4.0,85.0,38.6
17.0,1,60,4.0,85.0,39.3
82.0,0,57,15.0,97.0,40.3
110.0,1,34,19.0,101.0,40.5
161.0,0,42,25.0,106.0,40.8
164.0,1,38,25.0,107.0,40.8
15.0,1,43,5.0,81.0,39.5
85.0,1,76,12.0,96.0,40.2
128.0,1,37,23.0,101.0,40.6
59.0,1,23,14.0,94.0,40.2
6.0,1,21,2.0,84.0,37.9
82.0,0,20,18.0,92.0,40.2
148.0,0,23,25.0,105.0,40.5
8.0,0,20,3.0,76.0,38.2
53.0,0,25,14.0,86.0,40.3
85.0,0,24,16.0,98.0,40.2
120.0,0,29,22.0,99.0,40.9
205.0,1,43,28.0,107.0,40.7
13.0,0,26,4.0,80.0,39.1
192.0,0,76,28.0,107.0,40.6
18.0,1,43,4.0,91.0,38.7
44.0,1,73,7.0,92.0,39.3
172.0,1,42,26.0,103.0,41.3
158.0,0,23,27.0,105.0,40.4
11.0,1,22,6.0,82.0,39.5
108.0,1,28,25.0,96.0,40.9
112.0,0,20,23.0,96.0,40.5
66.0,0,36,14.0,92.0,39.7
36.0,1,26,10.0,88.0,39.7
19.0,1,59,4.0,89.0,38.7
49.0,0,22,10.0,94.0,39.5
149.0,0,50,26.0,100.0,40.6
4.0,1,22,2.0,81.0,38.6
206.0,0,52,28.0,115.0,40.6
111.0,0,31,23.0,94.0,40.9
226.0,1,68,28.0,105.0,41.1
56.0,0,48,11.0,94.0,39.3
30.0,1,31,7.0,92.0,39.7
67.0,0,23,15.0,91.0,40.2
111.0,1,24,22.0,102.0,40.7
199.0,1,58,27.0,107.0,40.7
85.0,0,32,15.0,102.0,40.3
6.0,0,21,2.0,77.0,38.1
219.0,1,63,28.0,105.0,40.9
162.0,1,77,21.0,102.0,39.9
190.0,1,49,25.0,110.0,40.5
190.0,1,26,30.0,108.0,40.7
40.0,0,53,9.0,87.0,39.5
40.0,0,31,9.0,92.0,40.1
8.0,0,32,3.0,75.0,38.5
31.0,0,35,8.0,85.0,39.8
130.0,0,66,21.0,100.0,40.7
32.0,0,40,7.0,89.0,39.9
139.0,1,62,22.0,97.0,40.6
12.0,0,24,3.0,88.0,38.5
55.0,1,37,11.0,96.0,39.5
48.0,1,49,9.0,95.0,39.4
160.0,1,32,24.0,107.0,40.4
67.0,0,46,13.0,94.0,39.9
178.0,1,59,25.0,105.0,41.2
79.0,0,42,17.0,91.0,40.4
32.0,1,44,9.0,85.0,39.6
140.0,0,74,22.0,103.0,40.4
86.0,1,68,14.0,92.0,40.3
97.0,1,58,16.0,97.0,40.3
217.0,1,32,28.0,117.0,40.7
88.0,1,34,21.0,91.0,40.6
127.0,0,23,21.0,106.0,40.3
32.0,0,52,7.0,88.0,39.2
19.0,0,28,5.0,85.0,39.1
121.0,0,47,20.0,103.0,40.7
40.0,1,24,12.0,92.0,39.8
48.0,0,73,9.0,91.0,39.8
195.0,1,76,25.0,100.0,40.4
52.0,1,65,10.0,91.0,39.9
8.0,1,29,4.0,81.0,39.1
136.0,1,20,26.0,104.0,40.8
20.0,1,33,6.0,86.0,39.1
11.0,0,33,3.0,83.0,38.7
144.0,1,34,26.0,103.0,40.7
59.0,0,43,13.0,89.0,40.1
53.0,0,47,10.0,97.0,39.8
38.0,0,65,8.0,90.0,39.2
152.0,0,22,29.0,99.0,40.8
34.0,1,28,8.0,94.0,39.4
12.0,0,30,3.0,87.0,38.7
1.0,1,20,1.0,76.0,37.8
197.0,1,32,28.0,110.0,40.9
124.0,0,56,20.0,103.0,40.0
120.0,1,67,15.0,106.0,40.3
48.0,1,62,9.0,88.0,39.7
86.0,0,33,17.0,97.0,40.4
185.0,1,46,25.0,108.0,40.3
49.0,1,79,8.0,90.0,39.6
49.0,0,57,11.0,85.0,40.0
48.0,0,49,11.0,87.0,39.9
81.0,1,41,14.0,100.0,40.3
137.0,1,38,19.0,112.0,40.3
115.0,1,28,24.0,98.0,40.6
93.0,1,31,19.0,98.0,40.6
34.0,1,48,8.0,87.0,39.5
170.0,1,41,26.0,106.0,40.6
38.0,1,71,6.0,92.0,39.1
139.0,0,30,26.0,99.0,40.7
86.0,0,30,18.0,94.0,40.5
174.0,0,29,26.0,111.0,40.9
14.0,1,34,5.0,82.0,39.1
197.0,1,42,29.0,108.0,40.6
107.0,0,51,17.0,105.0,40.4
106.0,1,35,19.0,100.0,40.5
11.0,0,28,3.0,85.0,38.6
25.0,0,33,6.0,90.0,39.0
120.0,0,22,23.0,98.0,40.5
151.0,1,64,22.0,102.0,40.5
91.0,0,57,18.0,91.0,40.1
95.0,0,42,18.0,95.0,40.5
119.0,1,24,23.0,101.0,40.8
10.0,1,49,3.0,82.0,38.4
96.0,1,32,19.0,99.0,40.2
92.0,1,78,13.0,98.0,40.1
159.0,0,53,24.0,107.0,40.7
169.0,1,68,21.0,105.0,40.4
93.0,1,47,15.0,98.0,40.2
83.0,0,51,15.0,96.0,40.6
116.0,0,64,22.0,92.0,40.6
75.0,1,51,17.0,87.0,40.1
137.0,0,23,26.0,98.0,40.8
79.0,0,42,15.0,94.0,40.5
23.0,1,23,8.0,88.0,39.4
19.0,1,70,4.0,83.0,39.1
52.0,1,53,11.0,88.0,40.0
76.0,1,28,16.0,98.0,40.1
47.0,0,48,10.0,92.0,40.0
124.0,0,43,22.0,99.0,40.6
28.0,0,21,7.0,89.0,39.8
127.0,1,26,22.0,104.0,40.6
101.0,0,53,19.0,95.0,40.0
150.0,0,32,26.0,103.0,40.9
